id_str,created_at,text,screen_name,rtfrom,cluster
1578201722115203074,Fri Oct 07 01:53:06 +0000 2022,Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.,03bf30118c25476,EdRaposo_,0
1586904592721367040,Mon Oct 31 02:15:12 +0000 2022,"@reportersalles Não Fernanda, começamos a ser presos pelo voto auditavel. O cerceamento foi o medo. Que de fato é efetivo.",03bf30118c25476,taoquei1,0
1576006512643698689,Sat Oct 01 00:30:08 +0000 2022,"""A urna eletrônica é motivo de grande orgulho nacional"", disse Rodrigo Pacheco, o senador que é motivo de grande constrangimento nacional.",0Japalok0,Rconstantino,0
1577605827124412418,Wed Oct 05 10:25:14 +0000 2022,"Está comovente a profissão de fé dos optimixtas na urna do Butão. É isso aí: apesar de defasado, violável (violado) e inauditável, o sistema é confiável porque está em ótimas mãos - as mãos que barraram o voto auditável e descondenaram o “favorito”. Para de se preocupar à toa.",0Japalok0,GFiuza_Oficial,0
1582427111272243200,Tue Oct 18 17:43:18 +0000 2022,Nunca esqueçam que o Danones foi o deputado que imprimiu o voto para provar que votou contra o voto impresso. 🤣 https://t.co/TpvknVls0y,0Japalok0,bernardokuster2,0
1586853292423974916,Sun Oct 30 22:51:21 +0000 2022,"A pauta do voto auditável foi abandonada no meio do caminho. O autoritarismo foi aumentando, pessoas perseguidas. Nos disseram para confiar que todo o processo seria limpo. Será?",0Japalok0,reportersalles,0
1586853520522739712,Sun Oct 30 22:52:16 +0000 2022,"@reportersalles Não Fernanda, começamos a ser presos pelo voto auditavel. O cerceamento foi o medo. Que de fato é efetivo.",0Japalok0,taoquei1,0
1576738698074300416,Mon Oct 03 00:59:34 +0000 2022,@taoquei1 QUEREMOS VOTO IMPRESSO para o SEGUNDO TURNO. Só aceitaremos perder com voto impresso e fim de papo.,0Nofilter7,marcosjacob,0
1576747937266159618,Mon Oct 03 01:36:17 +0000 2022,O exército exigira que o segundo turno seja feito em voto impresso ou entregará o país a maquinas? Onde não haverá culpados por fraudes eleitorais?,0Nofilter7,santos_clenir,0
1577346013312221185,Tue Oct 04 17:12:49 +0000 2022,"URGENTE  - DIANTE DAS MUITAS DENÚNCIAS DE FRAUDE, CABE A APLICAÇÃO  DE MEDIDAS DE EXCEÇÃO, COM APOIO DAS FFAA,  PARA PRORROGAR O INÍCIO SEGUNDO TURNO DAS ELEIÇÕES ATÉ A IMPLEMENTAÇÃO DO VOTO IMPRESSO, VIA EMENDA CONSTITUCIONAL EM REGIME DE URGÊNCIA. RETUITEM - Repassem.",0Nofilter7,AirtonC72112182,0
